Employee_ID,Employee_Name,Manager_Employee_ID,Gender,Date_Of_Birth,Mail_ID,Department,Designation,Region_Location,Source_Of_Hiring,Cost_Per_Hire,Experience_Type,Date_Of_Joining,Last_Working_Date,Total_Working_Days,Days_Present,Sick_Leaves_Taken,Casual_Leaves_Taken,Unplanned_Absences,Late_Arrival_Count,Reason_For_Leaving,Employment_Status,Work_Mode,Transportation_Type,Annual_CTC,Training_Hours,Overtime_Hours,Productivity_Score,KPI_Achievement_Rate,Engagement_Score,Satisfaction_Score,Flight_Risk_Indicator,Performance_Rating
EMP-0204,anitha singh,EMP-0100,female,24/10/1972,anitha.singh@company.com,Technology,Assistant Manager,South - Chennai,Walk-In,0,Experienced,2020-12-24,2022-09-30,240,218.0,9,6.0,7.0,13,Involuntary - Restructuring,Resigned,WFH,Own Vehicle,25.51,15,16,58,61,5,2,High,3.0
EMP-0205,  Pooja   Kumar ,EMP-0010,,10 Jan 1985,pooja.kumar@company.com,H.R.,EXECUTIVE,BENGALURU,LinkedIn,0,Fresher,2020/12/20,,240,231.0,3,6.0,0.0,3,,Active,Hybrid,Company Cab,18.36 LPA,97,39,0.66,70%,4,3,High,3.0
EMP-0206,ramesh patel,EMP-0160,,17 Mar 1978,  ramesh71@gmail.com ,Sales,executive,West - Mumbai,LinkedIn,0,Experienced,2019-10-07,,240,232.0,4,4.0,0.0,5,,Active,Hybrid,Company Cab,3.73,28,17,59%,66,5,3,High,1.0
EMP-0207,Vijay Joshi,EMP-0300,,1982-02-05,vijay.joshi@outlook.com,Operations,  Executive ,South - Bangalore,Employee Referral,2500,Fresher,21/07/2021,11 Jan 2022,240,212.0,8,9.0,11.0,9,Involuntary - Performance,Inactive,Hybrid,Own Vehicle,5.99,89,8,63,68,6,1,High,1.0
EMP-0208,ANITHA KUMAR,,,25/04/1991,ANITHA.KUMAR@OUTLOOK.COM,Technology,  Manager ,North - Delhi,Naukri,0,,09 May 2024,,240,218.0,6,8.0,8.0,15,,Active,Onsite,Own Vehicle,19.76,49,24,71,78,2,2,High,2.0
EMP-0209,  Lakshmi   Singh ,EMP-0260,female,03-15-1984,lakshmi_singh@outlook.com,Finance,SENIOR EXECUTIVE,South - Bangalore,Company Career Site,0,Experienced,,,240,226.0,5,7.0,2.0,3,,ACTIVE,Onsite,Company Cab,3.62,68,39,66,63%,9,5,High,3.0
EMP-0210,VIKRAM PATEL,EMP-0300,,1969-10-27,vikram_patel@gmail.com,,senior executive,East - Kolkata,Campus Drive,10068,Experienced,2019/05/15,20/06/2020,240,217.0,6,6.0,11.0,9,Better Compensation & Benefits,Inactive,Hybrid,OWN VEHICLE,7.44,68,13,67,76,7,1,High,3.0
EMP-0211,Deepa Singh,,Female,10 Mar 1973,,Technology,executive,CHENNAI,,,Fresher,2019/05/08,,240,215.0,7 days,7.0,11.0,9,,Active,Onsite,Own Vehicle,16.94 LPA,,24,68%,0.67,4,1,,4.0
EMP-0212,MANOJ REDDY,EMP-0050,,12-06-1994,MANOJ.REDDY@GMAIL.COM,Technology,EXECUTIVE,DELHI,LinkedIn,0,Fresher,31/03/2024,,240,223.0,6,5.0,6.0,20,,Active,WFH,own vehicle,20.45,50,21,64,63,1,2,high,3.0
EMP-0213,  Pooja   Kumar ,EMP-0300,F,23 Sep 2005,pooja_kumar@gmail.com,Ops,EXECUTIVE,South - Bangalore,Naukri,0,Fresher,18/02/2021,,240,228.0,6,6.0,0.0,4,,Active,Onsite,own vehicle,19.47,22,29,63,67%,6,5,Medium,2.0
EMP-0214,  Vikram   Sharma ,EMP-0180,,04-08-1986,VIKRAM.SHARMA@YAHOO.COM,Sales & Mktg,TEAM LEAD,North - Delhi,COMPANY CAREER SITE,0,Experienced,09-02-2023,,240,227.0,2,8.0,3.0,4,,Active,Hybrid,Company Cab,8.99,54,19,60,64,5,4,High,3.0
EMP-0215,rajesh singh,EMP-0050,Male,13/03/1987,rajesh_singh@gmail.com,IT,EXECUTIVE,North - Delhi,Company Career Site,0,Fresher,03 Aug 2023,,240,224.0,6,7.0,3.0,8,,Active,WFH,Own Vehicle,20.95,98,20,85,83,4,,Low,3.0
EMP-0216,  Anitha   Singh ,EMP-0350,Female,22 Sep 2005,ANITHA.SINGH@COMPANY.COM,Ops,Senior Executive,DELHI,NAUKRI,0,Fresher,2019-11-02,,240,223.0,4,10.0,3.0,5,,active,Hybrid,Own Vehicle,9.31,62,43,58%,60,5,3,Medium,3.0
EMP-0217,PRADEEP JOSHI,EMP-0050,M,25/06/1984,pradeep.joshi@company.com,IT,TEAM LEAD,chennai,walk-in,0,Experienced,11/08/2022,,240,226.0,6,8.0,0.0,2 times,,Active,Onsite,Company Cab,11.47 LPA,51,31,0.54,64%,5,4,HIGH,1.0
EMP-0218,MEERA RAO,DIR-0001,,,MEERA.RAO@YAHOO.COM,HR,  Manager ,Bengaluru,Naukri,0,Experienced,27/12/2022,,240,227.0,3,9.0,1.0,5,,Active,Onsite,Own Vehicle,21.79,72,20,69,65,6,3,Medium,4.0
EMP-0219,suresh iyer,EMP-0140,male,1998-02-23,suresh.iyer@yahoo.com,Engineering,EXECUTIVE,West - Mumbai,Naukri,0,Fresher,28 Jun 2022,,240,232.0,2,5.0,1.0,3,,Active,Onsite,Own Vehicle,19.42,36,34,56,66,4,3,High,2.0
EMP-0220,priya patel,EMP-0010,Female,1991-06-12,priya_patel@outlook.com,HR,Assistant Manager,North - Delhi,Walk-In,0,Experienced,,,240,216.0,14,4.0,6.0,8,,Active,Hybrid,Own Vehicle,24.31,47,31,61,62,8,1,High,3.0
EMP-0221,  Ananya   Singh ,EMP-0100,,16 Sep 1985,ANANYA.SINGH@OUTLOOK.COM,Technology,Senior Executive,North - Delhi,Employee Referral,"INR 2,500",Fresher,2018-09-11,10/11/2020,240,225.0,5,7.0,3.0,5,Involuntary - Restructuring,Resigned,Onsite,COMPANY CAB,"INR 1,961,000",69,29,71%,,7,Low,Medium,3.0
EMP-0222,  Kavitha   Joshi ,EMP-0050,,24/07/1972,kavitha.joshi@yahoo.com,IT,SENIOR EXECUTIVE,DELHI,LinkedIn,0,Fresher,2022-12-05,,240,231.0,2,5.0,2.0,5,,Active,,Own Vehicle,17.42,16,38,59,50,1,Low,High,2.0
EMP-0223,KAVITHA REDDY,EMP-0100,female,12-05-1976,KAVITHA.REDDY@YAHOO.COM,Technology,  Executive ,DELHI,company career site,0,Experienced,2022/02/14,,240,230.0,5,4.0,1.0,5,,active,Onsite,OWN VEHICLE,5.8 LPA,14,11,51,50,7,3,MEDIUM,3.0
EMP-0224,Meera Iyer,EMP-0280,Female,10 Nov 2005,  meera39@gmail.com ,Finance,SENIOR EXECUTIVE,chennai,Company Career Site,0,Experienced,06/07/2018,,240,224.0,6,9.0,1.0,7,,Active,Hybrid,Own Vehicle,12.51,54,40,56,53,4,3,High,0.0
EMP-0225,  Deepa   Iyer ,EMP-0050,F,05 Aug 2005,  deepa34@outlook.com ,Technology,Team Lead,BENGALURU,Naukri,0,Experienced,2019-12-31,,240,229.0,2,8.0,1.0,3,,Active,Onsite,OWN VEHICLE,"$12,000",67,17,,60%,3,3,MEDIUM,3.0
EMP-0226,PRADEEP KUMAR,emp-0280,,1980/06/29,pradeep.kumar@company.com,Finance,  Assistant Manager ,South - Chennai,Company Career Site,0,Experienced,02/08/2021,,240,225.0,4 days,10.0,1.0,2,,Active,HYBRID,Own Vehicle,,-15,,58%,60,8,3,Medium,1.0
EMP-0227,Sneha Singh,EMP-0320,male,04 Dec 2001,SNEHA.SINGH@OUTLOOK.COM,,executive,South - Bangalore,Employee Referral,2500,Fresher,19/04/2018,25/02/2019,240,231.0,2,5.0,2.0,5,Involuntary - Restructuring,Terminated,Hybrid,Company Cab,27.34,32,12,46,50,3,Low,High,2.0
EMP-0228,  Priya   Venkatesh ,EMP-0300,F,1997/11/26,priya.venkatesh@yahoo.com,Operations,  Assistant Manager ,BENGALURU,Naukri,0,Experienced,2022-06-19,,240,228.0,5,4.0,3.0,5,,Active,Onsite,Company Cab,13.13,51,20,61,64,7,4,Medium,3.0
EMP-0229,karthik singh,DIR-0001,Male,1989/09/25,karthik_singh@outlook.com,Technology,  Manager ,West - Mumbai,Employee Referral,,Experienced,05/11/2019,,240,,,,,,,Active,Onsite,own vehicle,25.36 LPA,19,7,0.60,57%,5,3,High,2.0
EMP-0230,Lakshmi Iyer,DIR-0001,Female,13 Jun 2002,  lakshmi1@gmail.com ,Operations,  Manager ,East - Kolkata,Walk-In,0,Experienced,03-29-2022,23 Apr 2025,240,210.0,12,6.0,12.0,16,Work-Life Balance / Burnout,Inactive,Onsite,Own Vehicle,18.96,41,39,53,62,6,2,High,3.0
EMP-0231,pooja iyer,EMP-0180,Female,31 Mar 1979,  pooja39@outlook.com ,Sales,  Senior Executive ,South - Bangalore,Recruitment Agency,72918,Fresher,2019-12-22,,240,228.0,5,7.0,0.0,1,,ACTIVE,Hybrid,Company Cab,"INR 2,297,000",62,6,66%,0.67,6,,MEDIUM,3.0
EMP-0232,Pooja Kumar,EMP-0180,,09/03/1996,pooja.kumar@yahoo.com,Sales,TEAM LEAD,South - Bangalore,Naukri,0,Experienced,03 Feb 2020,08/03/2022,240,210.0,12,9.0,9.0,17,Involuntary - Restructuring,Inactive,Hybrid,own vehicle,15.81,39,22,56,63,4,2,High,2.0
EMP-0233,Suresh Reddy,EMP-0180,,,  suresh93@gmail.com ,Sales,senior executive,mumbai,Recruitment Agency,78678,Fresher,03-10-2022,19/07/2023,240,221.0,10,4.0,5.0,11,Better Career Growth,Inactive,Hybrid,Company Cab,17.63,48,43,68,76%,2,1,High,5.0
EMP-0234,  Sneha   Sharma ,EMP-0280,F,2005-03-30,sneha_sharma@company.com,Finance,  Assistant Manager ,South - Chennai,Naukri,0,Experienced,31 Aug 2019,,240,226.0,6,8.0,0.0,5,,Active,WFH,Company Cab,15.57,40,31,73,82,5,3,High,3.0
EMP-0235,Suresh Kumar,EMP-0100,Male,14/03/1969,suresh.kumar@yahoo.com,Technology,senior executive,South - Bangalore,Campus Drive,13439,Experienced,2020/02/18,,240,229.0,6,4.0,1.0,8 times,,ACTIVE,Onsite,company cab,8.28 LPA,91,10,75,75,7,,MEDIUM,0.0
EMP-0236,priya patel,EMP-0010,female,06-20-1998,priya_patel@gmail.com,Human Resources,executive,North - Delhi,Walk-In,0,Fresher,06 Jan 2018,,240,222.0,6,9.0,3.0,5,,active,Hybrid,Company Cab,21.2,11,21,68%,68,2,3,Medium,3.0
EMP-0237,ANITHA VENKATESH,EMP-0100,female,1995/11/25,ANITHA.VENKATESH@OUTLOOK.COM,IT,team lead,North - Delhi,Employee Referral,"INR 5,000",Experienced,28/06/2020,,240,226.0,3,8.0,3.0,8,,Active,Onsite,company cab,10.38,87,21,77,79%,4,3,Medium,3.0
EMP-0238,LAKSHMI VENKATESH,EMP-0120,female,1971/06/07,LAKSHMI.VENKATESH@GMAIL.COM,Engineering,Executive,DELHI,Naukri,0,Experienced,2022/09/30,,240,229.0,2,7.0,2.0,7,,Active,Onsite,Own Vehicle,4.1,86,42,72,78,8,4,High,3.0
EMP-0224,  Karthik   Rao ,EMP-0010,M,24 Jul 2003,karthik.rao@outlook.com,Human Resources,ASSISTANT MANAGER,chennai,Company Career Site,0,Experienced,2018-05-23,23 Aug 2021,240,230.0,4,6.0,0.0,3,Better Career Growth,Resigned,Onsite,own vehicle,"$23,172",21,24,67,67,5,4,Medium,2.0
EMP-0240,PRADEEP RAO,EMP-0140,,12 Sep 1997,pradeep.rao@outlook.com,Engineering,SENIOR EXECUTIVE,West - Mumbai,Company Career Site,0,Experienced,06 Jul 2018,,240,226.0,4,7.0,3.0,5,,ACTIVE,hybrid,Public Transport,7.84,48,21,66,68,4,4,MEDIUM,3.0
EMP-0241,  Pradeep   Patel ,EMP-0350,male,1979/09/27,  pradeep29@company.com ,Operations,,BENGALURU,Walk-In,0,Experienced,10/05/2019,21 Aug 2020,240,206.0,12 days,10.0,12.0,8,Better Compensation & Benefits,Inactive,Hybrid,Own Vehicle,26.54 LPA,,27,54%,58%,3,1,High,2.0
EMP-0242,priya singh,DIR-0001,Female,2006/07/24,priya_singh@outlook.com,H.R.,Manager,South - Bangalore,Naukri,0,EXPERIENCED,08 Jun 2018,,240,229.0,5,4.0,2.0,5,,Active,Onsite,Own Vehicle,26.87,22,28,63,61,4,3,Medium,3.0
EMP-0243,karthik singh,EMP-0010,male,2002-04-08,  karthik47@yahoo.com ,H.R.,assistant manager,South - Bangalore,WALK-IN,0,Experienced,2022/06/12,,240,229.0,4,4.0,3.0,1,,Active,ONSITE,Company Cab,25.91,55,12,60,,8,3,Medium,3.0
EMP-0244,  Anitha   Patel ,EMP-0050,Female,05 May 1973,ANITHA.PATEL@OUTLOOK.COM,IT,  Team Lead ,South - Bangalore,LinkedIn,0,Experienced,05/04/2024,21 Oct 2025,240,209.0,14,7.0,10.0,8,Relocation / Personal Reasons,Inactive,WFH,Company Cab,12.57,36,17,58,56,5,2,High,2.0
EMP-0245,  Meera   Iyer ,EMP-0010,female,04 Apr 2006,meera.iyer@yahoo.com,H.R.,  Executive ,chennai,Company Career Site,0,Experienced,12-09-2020,14/10/2023,240,227.0,3,8.0,2.0,8,Involuntary - Performance,Inactive,onsite,own vehicle,3.88,26,1,53,54%,3,Very High,High,2.0
EMP-0246,vikram iyer,,male,1969-08-12,,IT,Assistant Manager,chennai,,,Experienced,08-21-2021,,240,225.0,5,10.0,0.0,4,,Active,onsite,Company Cab,26.24,69,28,74%,77,9,3,,1.0
EMP-0247,  Divya   Kumar ,EMP-0220,,07-30-1997,divya_kumar@outlook.com,Marketing,  Assistant Manager ,South - Chennai,Recruitment Agency,46577,EXPERIENCED,09/05/2020,,240,216.0,10,8.0,6.0,22,,,Hybrid,Own Vehicle,13.99 LPA,73,20,72,77,5,1,High,4.0
EMP-0248,Priya Rao,EMP-0200,F,13 May 1975,PRIYA.RAO@COMPANY.COM,Sales & Mktg,assistant manager,chennai,Naukri,0,Experienced,18/09/2019,2022-09-23,240,226.0,4,7.0,3.0,2,Relocation / Personal Reasons,Resigned,Hybrid,Own Vehicle,27.18,97,14,78,85,6,4,Low,3.0
EMP-0249,divya reddy,EMP-0075,,06 Jan 1982,divya_reddy@yahoo.com,IT,  Executive ,South - Bangalore,Recruitment Agency,68855,Fresher,03-11-2019,,240,218.0,6,9.0,7.0,19,,Active,Onsite,COMPANY CAB,27.11,44,26,61,58%,5,2,HIGH,5.0
EMP-0250,vikram rao,DIR-0001,Male,1972/11/27,  vikram91@gmail.com ,Human Resources,  Manager ,BENGALURU,Company Career Site,0,Experienced,2019/09/23,,240,231.0,3,6.0,0.0,7,,Active,Work From Home,Own Vehicle,24.4,79,30,71,70,8,5,Medium,3.0
EMP-0282,karthik kumar,DIR-0001,male,1997/08/10,karthik.kumar@company.com,Operations,MANAGER,North - Delhi,Naukri,0,Experienced,01-25-2020,,240,233.0,2,5.0,0.0,8,,Active,Onsite,Company Cab,,92,,79%,0.78,8,4,medium,4.0
EMP-0252,priya rao,EMP-0280,M,01 Sep 1993,  priya6@company.com ,Finance,team lead,CHENNAI,Company Career Site,0,Experienced,2022/03/25,,240,228.0,2,9.0,1.0,8,,,Onsite,Own Vehicle,12.93,39,22,74,84,6,3,High,
EMP-0253,karthik patel,EMP-0010,M,28/04/2006,karthik_patel@company.com,HR,Assistant Manager,Bengaluru,Walk-In,0,Experienced,2021-10-14,23 Apr 2023,240,226.0,4,8.0,2.0,7 times,Better Compensation & Benefits,Resigned,hybrid,Company Cab,24.35 LPA,80,23,,89%,7,5,Low,0.0
EMP-0254,ANANYA REDDY,EMP-0010,,07-22-1985,  ananya5@outlook.com ,H.R.,  Team Lead ,chennai,company career site,0,Experienced,2020-09-29,,240,213.0,13,7.0,7.0,15,,Active,HYBRID,Own Vehicle,11.26,83,43,69,72,4,1,High,5.0
EMP-0255,pooja joshi,EMP-0025,Female,1984/12/11,POOJA.JOSHI@COMPANY.COM,HR,  Executive ,North - Delhi,linkedin,0,Fresher,17 Jan 2021,,240,226.0,6,5.0,3.0,4,,Active,wfh,Company Cab,7.65,72,12,72,75,8,3,MEDIUM,2.0
EMP-0256,suresh singh,,male,05-19-2002,  suresh16@outlook.com ,Engineering,Manager,South - Chennai,Naukri,0,Experienced,,,240,225.0,6 days,8.0,1.0,2,,active,Onsite,company cab,17.14,37,21,74%,74,8,Low,Medium,4.0
EMP-0257,Sneha Singh,EMP-0120,Female,1969/04/06,sneha_singh@outlook.com,Engineering,Senior Executive,South - Chennai,Walk-In,0,Fresher,07-27-2020,20/07/2022,240,223.0,4,10.0,3.0,6,Involuntary - Performance,Inactive,Onsite,Own Vehicle,26.44,69,42,59,69%,10,3,High,4.0
EMP-0258,vikram iyer,EMP-0050,male,07-17-2005,VIKRAM.IYER@OUTLOOK.COM,IT,  Team Lead ,North - Delhi,Employee Referral,5000,Experienced,2018-02-25,,240,216.0,14,6.0,4.0,12,,Active,HYBRID,Own Vehicle,20.55,88,36,75,80,7,1,Medium,3.0
EMP-0259,vijay kumar,EMP-0100,F,2001/04/14,vijay_kumar@yahoo.com,IT,  Assistant Manager ,mumbai,Walk-In,0,Experienced,2022-04-28,,240,209.0,10,10.0,11.0,21,,Active,onsite,Own Vehicle,17.47 LPA,46,32,67,70,5,2,High,2.0
EMP-0260,pradeep nair,EMP-0010,male,,PRADEEP.NAIR@OUTLOOK.COM,Human Resources,executive,North - Delhi,Walk-In,0,FRESHER,20/03/2021,,240,227.0,3,7.0,3.0,6,,Active,Hybrid,Own Vehicle,5.88,31,2,62,59,9,4,Low,2.0
EMP-0261,KAVITHA SHARMA,EMP-0160,female,23 Apr 1983,kavitha.sharma@gmail.com,Sales & Mktg,ASSISTANT MANAGER,West - Mumbai,Walk-In,0,Experienced,24 Apr 2023,,240,225.0,4,8.0,3.0,8,,Active,HYBRID,Own Vehicle,"INR 1,857,000",77,18 hrs,63%,60%,10,3,High,3.0
EMP-0262,priya rao,EMP-0050,F,06-25-1983,PRIYA.RAO@GMAIL.COM,Technology,executive,South - Chennai,LinkedIn,0,Fresher,2021-02-07,,240,225.0,4,10.0,1.0,4,,Active,WFH,Company Cab,27.76,29,22,55,56,3,3,Medium,3.0
EMP-0263,karthik singh,EMP-0050,M,13/07/1970,  karthik65@company.com ,Technology,  Team Lead ,South - Bangalore,Campus Drive,9633,EXPERIENCED,26/10/2020,05-11-2021,240,226.0,6,7.0,1.0,7,Relocation / Personal Reasons,Resigned,Hybrid,Company Cab,6.93,77,28,72,72,8,3,High,3.0
EMP-0264,Sneha Venkatesh,EMP-0075,F,01-26-1997,SNEHA.VENKATESH@GMAIL.COM,Technology,  Assistant Manager ,South - Bangalore,LinkedIn,0,Experienced,12-21-2018,,240,217.0,6,6.0,11.0,19,,Active,Hybrid,OWN VEHICLE,16.2,73,29,73,71,5,2,Medium,3.0
EMP-0265,Suresh Singh,EMP-0280,M,1998-11-11,  suresh55@gmail.com ,Finance,Executive,South - Chennai,Campus Drive,16617,Fresher,05-08-2024,,240,227.0,5,7.0,1.0,8,,Active,Onsite,Own Vehicle,25.0 LPA,26,38,0.61,,3,3,High,2.0
EMP-0266,VIKRAM JOSHI,EMP-0075,M,02-18-1973,vikram_joshi@gmail.com,Technology,Executive,South - Bangalore,Walk-In,0,Fresher,,21 Sep 2021,240,217.0,6,5.0,12.0,17,Involuntary - Restructuring,Resigned,WFH,Own Vehicle,21.65,21,43,54%,54,3,2,High,3.0
EMP-0267,  Deepa   Nair ,DIR-0001,female,02-25-1992,  deepa37@outlook.com ,Sales,manager,West - Mumbai,Employee Referral,,Experienced,16 May 2020,,240,,,,,,,Active,onsite,Company Cab,"$24,695",31,24,61,62,7,3,Medium,0.0
EMP-0268,  Vijay   Sharma ,EMP-0025,Male,03 Jul 1997,vijay.sharma@outlook.com,Human Resources,Assistant Manager,North - Delhi,Recruitment Agency,69945,Experienced,2022-01-05,,240,226.0,4,10.0,0.0,8,,Active,Hybrid,OWN VEHICLE,20.71,26,36,58,61,6,4,HIGH,0.0
EMP-0269,divya kumar,EMP-0160,Female,11-22-1986,DIVYA.KUMAR@OUTLOOK.COM,Sales & Mktg,Assistant Manager,West - Mumbai,Company Career Site,0,Experienced,2018-01-03,,240,227.0,2,8.0,3.0,1,,Active,Hybrid,Own Vehicle,12.31,19,7,54,54%,9,3,Medium,5.0
EMP-0270,PRADEEP SINGH,EMP-0010,,,PRADEEP.SINGH@COMPANY.COM,HR,ASSISTANT MANAGER,DELHI,Naukri,0,Experienced,2022-11-16,,240,229.0,3,7.0,1.0,2,,Active,Onsite,Company Cab,10.69,74,41,75,73,3,3,High,3.0
EMP-0271,sneha nair,emp-0320,Female,12-30-1968,  sneha99@company.com ,Operations,Executive,North - Delhi,Recruitment Agency,41005,Fresher,2023-07-26,,240,209.0,13 days,10.0,8.0,13 times,,Active,ONSITE,company cab,23.33 LPA,,15,61%,0.59,7,1,High,2.0
EMP-0272,VIJAY PATEL,EMP-0300,male,07-04-1985,  vijay90@gmail.com ,Ops,EXECUTIVE,East - Kolkata,Employee Referral,2500,FRESHER,2018/10/28,,240,222.0,6,9.0,3.0,2,,Active,WFH,Company Cab,23.35,99,7,70,79,2,4,Low,5.0
EMP-0273,PRADEEP SHARMA,EMP-0320,,04 Apr 2004,pradeep_sharma@company.com,Operations,Assistant Manager,South - Bangalore,walk-in,0,Experienced,2022/10/28,,240,207.0,11,10.0,12.0,14,,Active,Hybrid,Company Cab,24.74,91,0,76,73%,5,1,High,3.0
EMP-0274,ARUN NAIR,EMP-0180,male,14/04/1998,arun_nair@company.com,Sales,EXECUTIVE,chennai,LINKEDIN,0,Fresher,19 Dec 2023,,240,224.0,4,9.0,3.0,1,,Active,Onsite,Own Vehicle,25.87,59,43,61,65,2,3,High,4.0
EMP-0275,Manoj Reddy,EMP-0240,male,07-21-1990,MANOJ.REDDY@GMAIL.COM,Marketing,assistant manager,West - Mumbai,naukri,0,Experienced,08 May 2024,,240,229.0,6,4.0,1.0,5,,Active,hybrid,company cab,16.03,23,4,42,50,2,3,Medium,3.0
EMP-0276,MANOJ REDDY,DIR-0001,M,06-08-1981,MANOJ.REDDY@COMPANY.COM,IT,MANAGER,chennai,Naukri,0,Experienced,07 Nov 2019,,240,217.0,9,9.0,5.0,14,,Active,Onsite,Company Cab,,73,,69%,71,8,2,High,4.0
EMP-0277,Ananya Rao,EMP-0240,,18 Jan 1977,ananya.rao@company.com,Marketing,Executive,chennai,Company Career Site,0,Fresher,30 Jan 2020,,240,218.0,7,10.0,5.0,15,,active,Hybrid,company cab,23.06 LPA,56,0,0.64,76%,7,1,HIGH,2.0
EMP-0278,ananya venkatesh,DIR-0001,Female,2003-04-23,ananya_venkatesh@company.com,Sales & Mktg,MANAGER,,Recruitment Agency,87346,EXPERIENCED,04-26-2018,,240,226.0,3,9.0,2.0,1,,active,Onsite,Company Cab,19.42,38,3,52,57,4,4,LOW,2.0
EMP-0279,KARTHIK KUMAR,DIR-0001,,14/01/1992,  karthik25@gmail.com ,Marketing,Manager,South - Chennai,Campus Drive,10361,Experienced,13 Dec 2023,,240,224.0,6,6.0,4.0,12,,ACTIVE,ONSITE,Own Vehicle,20.7,85,39,75,87,3,2,High,3.0
EMP-0280,ramesh reddy,,M,02-17-1970,ramesh_reddy@company.com,Sales & Mktg,manager,chennai,Recruitment Agency,66868,Experienced,18/09/2022,10/08/2024,240,227.0,4,6.0,3.0,3,Better Career Growth,Resigned,Onsite,Company Cab,23.0,45,34,57,56,6,3,high,3.0
EMP-0281,Rajesh Patel,,Male,12/01/1986,,Sales,,North - Delhi,,,Fresher,18 Apr 2019,,240,213.0,9,8.0,10.0,17,,Active,Hybrid,Company Cab,"INR 2,531,000",61 Hours,31,,64%,5,1,,3.0
EMP-0282,Vijay Joshi,EMP-0260,,1972/02/15,VIJAY.JOSHI@GMAIL.COM,Finance,  Team Lead ,chennai,Company Career Site,0,Experienced,2020/02/11,,240,231.0,3,5.0,1.0,2,,active,Onsite,Own Vehicle,11.78,85,41,67,72,8,3,High,3.0
EMP-0283,pradeep singh,EMP-0140,Male,02-09-1983,pradeep.singh@gmail.com,Engineering,TEAM LEAD,West - Mumbai,Employee Referral,5000,Experienced,26/06/2024,,240,213.0,12,8.0,7.0,15,,Active,Hybrid,COMPANY CAB,12.7 LPA,16,33,55,56,High,2,High,4.0
EMP-0284,PRADEEP JOSHI,EMP-0010,F,2003/12/09,pradeep_joshi@outlook.com,Human Resources,EXECUTIVE,South - Bangalore,Employee Referral,2500,Fresher,2019-08-16,,240,228.0,6,5.0,1.0,8,,Active,Onsite,company cab,5.8,38,42,58,69,4,3,High,3.0
EMP-0285,  Sanjay   Patel ,EMP-0010,Male,05-29-1977,SANJAY.PATEL@YAHOO.COM,HR,executive,West - Mumbai,Walk-In,0,Fresher,12-12-2021,,240,215.0,10,7.0,8.0,18,,Active,Hybrid,Own Vehicle,17.67,20,24,51,55%,6,2,High,2.0
EMP-0286,  Arun   Singh ,EMP-0200,male,03-23-1997,  arun55@company.com ,Sales,Senior Executive,South - Chennai,Naukri,0,Experienced,03-29-2022,,240,225.0,2 days,10.0,3.0,5,,Active,Onsite,Own Vehicle,4.38,42,9,60%,57,8,3,Low,6.0
EMP-0287,  Sneha   Singh ,EMP-0180,female,14 Jun 1981,sneha.singh@outlook.com,Sales,Senior Executive,CHENNAI,linkedin,0,Fresher,02-12-2023,,240,216.0,14,5.0,5.0,15,,Active,hybrid,Own Vehicle,14.91,15,20,70,,6,2,Medium,3.0
EMP-0288,KARTHIK NAIR,EMP-0100,,20/01/1982,karthik.nair@outlook.com,IT,  Assistant Manager ,East - Kolkata,Company Career Site,0,Experienced,,,240,213.0,11,8.0,8.0,18,,Active,Hybrid,Company Cab,16.79,88,38,61,55,5,2,High,3.0
EMP-0289,rajesh patel,EMP-0100,male,1979/04/09,rajesh.patel@yahoo.com,Technology,Executive,West - Mumbai,Company Career Site,0,Fresher,04-17-2024,,240,224.0,5,9.0,2.0,8 times,,Active,HYBRID,Own Vehicle,10.52 LPA,41,26,0.64,66%,5,3,High,3.0
EMP-0290,lakshmi joshi,DIR-0001,,1998/02/14,  lakshmi36@yahoo.com ,H.R.,manager,BENGALURU,Naukri,0,Experienced,11-18-2022,,240,228.0,4,5.0,3.0,8,,Active,Onsite,Own Vehicle,17.98,60,26,76,79,7,Very High,Medium,3.0
EMP-0291,  Pooja   Rao ,EMP-0200,,1968/10/31,pooja_rao@yahoo.com,Sales & Mktg,  Executive ,South - Bangalore,LINKEDIN,0,Experienced,2023-01-18,,240,230.0,2,5.0,3.0,6,,Active,Onsite,Company Cab,"INR 425,000",84,1,68%,0.72,8,4,Low,3.0
EMP-0292,KARTHIK JOSHI,EMP-0050,male,16 Nov 1993,  karthik7@company.com ,Technology,Senior Executive,Bengaluru,COMPANY CAREER SITE,0,Experienced,04-04-2020,,240,213.0,10,9.0,8.0,8,,Active,WFH,Public Transport,4.42,67,40,68,77,7,2,High,3.0
EMP-0293,  Deepa   Reddy ,EMP-0260,,15 Dec 2004,deepa.reddy@company.com,Finance,assistant manager,,Campus Drive,18727,Experienced,05-19-2018,,240,229.0,5,6.0,0.0,1,,Active,Onsite,Public Transport,23.65,96,12,59,67%,9,3,Low,4.0
EMP-0294,  Deepa   Iyer ,EMP-0050,F,1996/08/12,deepa.iyer@gmail.com,Technology,  Assistant Manager ,chennai,Company Career Site,0,Experienced,07-24-2022,,240,222.0,6,9.0,3.0,5,,active,Hybrid,Company Cab,12.32,35,8,60,60,9,3,Medium,4.0
